Zeit[min * 1];Einheitstemperaturzeitkurve[°C * 1];Externe-Brandkurve[°C * 1];HydroKarbon-Brandkurve[°C * 1];

3.64;530.205;538.54;908.798
3.65;530.602;538.991;909.119
3.66;530.999;539.442;909.439
3.67;531.394;539.891;909.759
3.68;531.788;540.339;910.078
3.69;532.182;540.785;910.396
3.7;532.574;541.23;910.715
3.71;532.965;541.673;911.032
3.72;533.355;542.115;911.349
3.73;533.744;542.556;911.665
3.74;534.133;542.995;911.981
3.75;534.52;543.432;912.296
3.76;534.906;543.869;912.611
3.77;535.291;544.304;912.925
3.78;535.675;544.737;913.238
3.79;536.059;545.169;913.551
3.8;536.441;545.6;913.864
3.81;536.822;546.029;914.176
3.82;537.202;546.458;914.487
3.83;537.582;546.884;914.798
3.84;537.96;547.309;915.108
3.85;538.337;547.733;915.417
3.86;538.714;548.156;915.726
3.87;539.089;548.577;916.035
3.88;539.464;548.997;916.343
3.89;539.838;549.416;916.651
3.9;540.21;549.833;916.957
3.91;540.582;550.249;917.264
3.92;540.953;550.663;917.57
3.93;541.323;551.076;917.875
3.94;541.692;551.488;918.18
3.95;542.06;551.899;918.484
3.96;542.427;552.308;918.788
3.97;542.794;552.716;919.091
3.98;543.159;553.123;919.394
3.99;543.524;553.528;919.696
4;543.887;553.932;919.998
4.01;544.25;554.335;920.299
4.02;544.612;554.737;920.599
4.03;544.973;555.137;920.899
4.04;545.333;555.536;921.199
4.05;545.693;555.933;921.498
4.06;546.051;556.33;921.797
4.07;546.409;556.725;922.095
4.08;546.765;557.119;922.392
4.09;547.121;557.511;922.689
4.1;547.476;557.903;922.985
4.11;547.83;558.293;923.281
4.12;548.184;558.682;923.577
4.13;548.536;559.069;923.872
4.14;548.888;559.455;924.166
4.15;549.239;559.841;924.46
4.16;549.589;560.225;924.754
4.17;549.938;560.607;925.047
4.18;550.287;560.989;925.339
4.19;550.634;561.369;925.631
4.2;550.981;561.748;925.922
4.21;551.327;562.126;926.213
4.22;551.673;562.502;926.504
4.23;552.017;562.878;926.794
4.24;552.361;563.252;927.083
4.25;552.703;563.625;927.372
4.26;553.046;563.997;927.66
4.27;553.387;564.367;927.948
4.28;553.727;564.737;928.236
4.29;554.067;565.105;928.523
4.3;554.406;565.472;928.809
4.31;554.744;565.838;929.095
4.32;555.082;566.203;929.381
4.33;555.419;566.566;929.666
4.34;555.754;566.929;929.951
4.35;556.09;567.29;930.235
4.36;556.424;567.65;930.518
4.37;556.758;568.009;930.801
4.38;557.091;568.367;931.084
4.39;557.423;568.723;931.366
4.4;557.754;569.079;931.648
4.41;558.085;569.433;931.929
4.42;558.415;569.787;932.21
4.43;558.745;570.139;932.49
4.44;559.073;570.49;932.77
4.45;559.401;570.84;933.049
4.46;559.728;571.188;933.328
4.47;560.055;571.536;933.606
4.48;560.38;571.882;933.884
4.49;560.705;572.228;934.161
4.5;561.03;572.572;934.438
4.51;561.353;572.915;934.715
4.52;561.676;573.258;934.991
4.53;561.998;573.599;935.266
4.54;562.32;573.939;935.541
4.55;562.641;574.277;935.816
4.56;562.961;574.615;936.09
4.57;563.28;574.952;936.364
4.58;563.599;575.287;936.637
4.59;563.917;575.622;936.91
4.6;564.235;575.955;937.182
4.61;564.551;576.288;937.454
4.62;564.868;576.619;937.725
4.63;565.183;576.95;937.996
4.64;565.498;577.279;938.267
4.65;565.812;577.607;938.537
4.66;566.125;577.934;938.806
4.67;566.438;578.26;939.076
4.68;566.75;578.585;939.344
4.69;567.062;578.909;939.612
4.7;567.373;579.232;939.88
4.71;567.683;579.554;940.148
4.72;567.992;579.875;940.414
4.73;568.301;580.195;940.681
4.74;568.61;580.514;940.947
4.75;568.917;580.832;941.212
4.76;569.224;581.148;941.477
4.77;569.531;581.464;941.742
4.78;569.837;581.779;942.006
